source_report,event_date,stock_id,stock_name,period_start,source_row_number,raw_path,raw_sha256_matches,normalized_fields_match,mismatched_fields,raw_row_sha256,raw_official_row_json
TWT49U,2008-07-31,6112,邁達特,2008-07-01,263,data/raw/twse/corporate_actions/ex_right_dividend/2008/TWT49U_200807.json.gz,True,True,,A99353485615E3B9D643F39AC4AB7DB62E7AED22557A5BCBA6212CE7E6545CF4,"{""息值"":1.0,""最近一次申報每股 (單位)淨值"":""23.00"",""最近一次申報每股 (單位)盈餘"":""1.85"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權息"",""權值"":1.91,""權值+息值"":""2.910000"",""減除股利參考價"":""19.09"",""漲停價格"":""20.40"",""股票代號"":""6112"",""股票名稱"":""邁達特"",""詳細資料"":""6112,20080731"",""資料日期"":""97年07月31日"",""跌停價格"":""17.80"",""開盤競價基準"":""19.10"",""除權息前收盤價"":""22.00"",""除權息參考價"":""19.09""}"
TWT49U,2008-11-20,01007T,兆豐國泰R2,2008-11-01,3,data/raw/twse/corporate_actions/ex_right_dividend/2008/TWT49U_200811.json.gz,True,True,,8251A0EE6DEA3B113F9829419CF69E4E69099B0BE81A293BE2FE7D6DC5DB351C,"{""息值"":0.211581,""最近一次申報每股 (單位)淨值"":""23.79"",""最近一次申報每股 (單位)盈餘"":""N/A"",""最近一次申報資料 季別/日期"":""115年08月11日(https://mops.twse.com.tw/mops/web/t112sb01_q5)"",""權/息"":""息"",""權值"":0.0,""權值+息值"":""0.211581"",""減除股利參考價"":""7.83"",""漲停價格"":""8.37"",""股票代號"":""01007T"",""股票名稱"":""兆豐國泰R2"",""詳細資料"":""01007T,20081120"",""資料日期"":""97年11月20日"",""跌停價格"":""7.29"",""開盤競價基準"":""7.83"",""除權息前收盤價"":""8.05"",""除權息參考價"":""7.83""}"
TWT49U,2009-02-09,3561,昇陽光電,2009-02-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2009/TWT49U_200902.json.gz,True,True,,B465D44025FD7E12397EBA132A8C2329338E811769941D381EA24017A652669B,"{""最近一次申報每股 (單位)淨值"":""20.01"",""最近一次申報每股 (單位)盈餘"":""-1.17"",""最近一次申報資料 季別/日期"":""107年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.439836"",""減除股利參考價"":""24.60"",""漲停價格"":""26.30"",""股票代號"":""3561"",""股票名稱"":""昇陽光電"",""詳細資料"":""3561,20090209"",""資料日期"":""98年02月09日"",""跌停價格"":""22.50"",""開盤競價基準"":""24.60"",""除權息前收盤價"":""24.60"",""除權息參考價"":""24.16""}"
TWT49U,2009-08-03,2467,志聖,2009-08-01,4,data/raw/twse/corporate_actions/ex_right_dividend/2009/TWT49U_200908.json.gz,True,True,,F025EE677E0C23D5D96101128C95653D0E5854A93165D932FF53601FED93184A,"{""最近一次申報每股 (單位)淨值"":""100.34"",""最近一次申報每股 (單位)盈餘"":""7.16"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權息"",""權值+息值"":""0.549284"",""減除股利參考價"":""11.55"",""漲停價格"":""12.35"",""股票代號"":""2467"",""股票名稱"":""志聖"",""詳細資料"":""2467,20090803"",""資料日期"":""98年08月03日"",""跌停價格"":""10.75"",""開盤競價基準"":""11.55"",""除權息前收盤價"":""12.10"",""除權息參考價"":""11.55""}"
TWT49U,2009-12-18,0081,恒香港,2009-12-01,4,data/raw/twse/corporate_actions/ex_right_dividend/2009/TWT49U_200912.json.gz,True,True,,E3D46B27A234C18028848019F19A6EC24F3A090DFD988022427B5767D00271AA,"{""最近一次申報每股 (單位)淨值"":"""",""最近一次申報每股 (單位)盈餘"":"""",""最近一次申報資料 季別/日期"":"""",""權/息"":""息"",""權值+息值"":""8.246000"",""減除股利參考價"":""900.75"",""漲停價格"":""9,999.95"",""股票代號"":""0081"",""股票名稱"":""恒香港"",""詳細資料"":""0081,20091218"",""資料日期"":""98年12月18日"",""跌停價格"":""0.01"",""開盤競價基準"":""900.75"",""除權息前收盤價"":""909.00"",""除權息參考價"":""900.75""}"
TWT49U,2010-01-14,3058,立德,2010-01-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2010/TWT49U_201001.json.gz,True,True,,3AE7DD58B64456E0A95DBDECE6CFAECE6D184CBEC6AED65839A722772DEEA45D,"{""最近一次申報每股 (單位)淨值"":""7.73"",""最近一次申報每股 (單位)盈餘"":""-0.19"",""最近一次申報資料 季別/日期"":""115年第1季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.639420"",""減除股利參考價"":""28.90"",""漲停價格"":""30.90"",""股票代號"":""3058"",""股票名稱"":""立德"",""詳細資料"":""3058,20100114"",""資料日期"":""99年01月14日"",""跌停價格"":""26.30"",""開盤競價基準"":""28.90"",""除權息前收盤價"":""28.90"",""除權息參考價"":""28.26""}"
TWT49U,2010-07-29,1201,味全,2010-07-01,249,data/raw/twse/corporate_actions/ex_right_dividend/2010/TWT49U_201007.json.gz,True,True,,81848E60A531F7C6644AAC4F5DA81BF7412540A3127DEA6B69802384A6D1E008,"{""最近一次申報每股 (單位)淨值"":""15.72"",""最近一次申報每股 (單位)盈餘"":""0.00"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""息"",""權值+息值"":""0.600000"",""減除股利參考價"":""36.45"",""漲停價格"":""39.00"",""股票代號"":""1201"",""股票名稱"":""味全"",""詳細資料"":""1201,20100729"",""資料日期"":""99年07月29日"",""跌停價格"":""33.90"",""開盤競價基準"":""36.45"",""除權息前收盤價"":""37.05"",""除權息參考價"":""36.45""}"
TWT49U,2010-12-21,1704,榮化,2010-12-01,5,data/raw/twse/corporate_actions/ex_right_dividend/2010/TWT49U_201012.json.gz,True,True,,4AF37910F8DF7E01D77802A0C1EDE4FE175B88B93A25A0F69CFF523D2DEFFC33,"{""最近一次申報每股 (單位)淨值"":""36.73"",""最近一次申報每股 (單位)盈餘"":""2.83"",""最近一次申報資料 季別/日期"":""107年第3季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.385119"",""減除股利參考價"":""65.60"",""漲停價格"":""70.10"",""股票代號"":""1704"",""股票名稱"":""榮化"",""詳細資料"":""1704,20101221"",""資料日期"":""99年12月21日"",""跌停價格"":""60.70"",""開盤競價基準"":""65.60"",""除權息前收盤價"":""65.60"",""除權息參考價"":""65.21""}"
TWT49U,2011-01-05,3017,奇鋐,2011-01-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2011/TWT49U_201101.json.gz,True,True,,1E0C0CAA69DDF0B335B0237B6BD4B6B0E17F285CEA2659058B406534C0003035,"{""最近一次申報每股 (單位)淨值"":""115.06"",""最近一次申報每股 (單位)盈餘"":""20.17"",""最近一次申報資料 季別/日期"":""115年第1季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.459923"",""減除股利參考價"":""34.65"",""漲停價格"":""37.05"",""股票代號"":""3017"",""股票名稱"":""奇鋐"",""詳細資料"":""3017,20110105"",""資料日期"":""100年01月05日"",""跌停價格"":""31.80"",""開盤競價基準"":""34.65"",""除權息前收盤價"":""34.65"",""除權息參考價"":""34.19""}"
TWT49U,2011-07-28,3032,偉訓,2011-07-01,282,data/raw/twse/corporate_actions/ex_right_dividend/2011/TWT49U_201107.json.gz,True,True,,C14212DD0F51ACD53E2903E81C6BC1C76091946A41ECF699064092B929C382F8,"{""最近一次申報每股 (單位)淨值"":""24.83"",""最近一次申報每股 (單位)盈餘"":""0.85"",""最近一次申報資料 季別/日期"":""115年第1季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權息"",""權值+息值"":""1.112377"",""減除股利參考價"":""11.23"",""漲停價格"":""12.00"",""股票代號"":""3032"",""股票名稱"":""偉訓"",""詳細資料"":""3032,20110728"",""資料日期"":""100年07月28日"",""跌停價格"":""10.45"",""開盤競價基準"":""11.25"",""除權息前收盤價"":""12.35"",""除權息參考價"":""11.23""}"
