stock_id,trade_date,open,close,change_pct,previous_trade_date,previous_close,calendar_gap_days,close_return,open_gap,implied_official_reference_price,reference_reset_return,market_return_from_reference,observation_number,official_event_date,event_kinds,source_reports,official_pre_close,official_reference_price,official_adjustment_factor,event_ledger_eligible,event_ledger_block_reasons,classification,asset_type,listing_date,total_return_eligible,official_pre_close_matches
1432,2008-11-03,2.09,2.09,0.0,2008-09-15,4.85,49.0,-0.5690721649484536,-0.5690721649484536,2.09,-0.5690721649484536,0.0,574,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1982-07-26,False,
1432,2008-11-27,1.29,1.29,0.0,2008-11-12,1.7,15.0,-0.24117647058823521,-0.24117647058823521,1.29,-0.24117647058823521,0.0,582,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1982-07-26,False,
1432,2009-05-19,2.79,2.79,0.0,2009-04-24,4.6,25.0,-0.39347826086956517,-0.39347826086956517,2.79,-0.39347826086956517,0.0,617,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1982-07-26,False,
1432,2013-08-27,27.35,26.5,0.0,2013-08-26,38.3,1.0,-0.30809399477806787,-0.28590078328981716,26.5,-0.30809399477806787,0.0,1575,2013-08-27,ex_right,TWT49U,38.3,27.35,0.7140992167101828,True,,matched_corporate_action,common_stock,1982-07-26,True,True
1436,2012-08-06,34.1,35.45,0.0,2012-07-24,14.2,13.0,1.496478873239437,1.4014084507042255,35.45,1.496478873239437,0.0,1867,2012-08-06,capital_reduction,TWTAUU,14.2,33.14,2.3338028169014087,False,capital_refund_and_exchange_ratio_missing,matched_corporate_action,common_stock,1988-04-11,False,True
1438,2005-06-02,0.98,0.98,0.0,2005-05-03,2.09,30.0,-0.5311004784688995,-0.5311004784688995,0.98,-0.5311004784688995,0.0,50,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-12-15,False,
1438,2005-11-17,1.87,1.63,0.0,2005-11-02,2.17,15.0,-0.24884792626728114,-0.13824884792626724,1.63,-0.24884792626728114,0.0,108,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-12-15,False,
1438,2006-01-09,1.05,1.05,0.0,2005-12-19,1.82,21.0,-0.423076923076923,-0.423076923076923,1.05,-0.423076923076923,0.0,127,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-12-15,False,
1438,2009-03-12,0.7,0.7,0.0,2008-12-26,0.92,76.0,-0.23913043478260876,-0.23913043478260876,0.7,-0.23913043478260876,0.0,554,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1988-12-15,False,
1439,2011-07-19,36.85,34.6,0.0,2011-07-18,47.0,1.0,-0.2638297872340425,-0.2159574468085106,34.6,-0.2638297872340425,0.0,1614,2011-07-19,ex_dividend,TWT49U,47.0,37.0,0.7872340425531915,True,,matched_corporate_action,common_stock,1989-05-22,True,True
1441,2009-09-18,8.64,8.64,0.0,2009-09-03,5.09,15.0,0.6974459724950886,0.6974459724950886,8.64,0.6974459724950886,0.0,1150,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-10-27,False,
1441,2010-10-20,10.4,10.0,0.0,2010-10-04,7.94,16.0,0.2594458438287153,0.3098236775818639,10.0,0.2594458438287153,0.0,1411,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-10-27,False,
1442,2007-03-13,29.2,29.2,0.0,2007-02-14,17.75,27.0,0.6450704225352113,0.6450704225352113,29.2,0.6450704225352113,0.0,527,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1989-11-16,False,
1443,2011-09-22,6.85,6.5,0.0,2011-09-06,3.24,16.0,1.0061728395061729,1.1141975308641974,6.5,1.0061728395061729,0.0,1647,2011-09-22,capital_reduction,TWTAUU,3.24,6.97,2.151234567901234,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1990-04-21,False,True
1446,2008-01-07,10.95,10.3,0.0,2007-12-19,6.55,19.0,0.5725190839694658,0.6717557251908397,10.3,0.5725190839694658,0.0,729,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1991-10-15,False,
1449,2006-01-04,2.0,2.0,0.0,2005-11-30,1.24,35.0,0.6129032258064517,0.6129032258064517,2.0,0.6129032258064517,0.0,226,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1992-05-06,False,
1449,2009-03-04,1.16,1.16,0.0,2009-02-12,0.75,20.0,0.5466666666666666,0.5466666666666666,1.16,0.5466666666666666,0.0,985,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1992-05-06,False,
1449,2009-12-21,2.69,2.69,0.0,2009-12-01,1.89,20.0,0.42328042328042326,0.42328042328042326,2.69,0.42328042328042326,0.0,1176,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1992-05-06,False,
1449,2014-11-18,3.63,3.63,0.0,2014-11-05,1.39,13.0,1.6115107913669067,1.6115107913669067,3.63,1.6115107913669067,0.0,2330,2014-11-18,capital_reduction,TWTAUU,1.39,3.9,2.8057553956834536,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1992-05-06,False,True
1453,2006-12-14,3.98,3.98,0.0,2006-11-24,1.65,20.0,1.412121212121212,1.412121212121212,3.98,1.412121212121212,0.0,454,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1993-04-19,False,
1453,2008-11-07,10.5,10.5,0.0,2008-10-23,5.27,15.0,0.9924098671726758,0.9924098671726758,10.5,0.9924098671726758,0.0,865,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1993-04-19,False,
1456,2005-05-16,2.3,2.16,0.0,2005-04-12,1.79,34.0,0.2067039106145252,0.2849162011173183,2.16,0.2067039106145252,0.0,65,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1993-12-09,False,
1456,2008-11-26,2.36,2.36,0.0,2008-11-06,1.9,20.0,0.24210526315789482,0.24210526315789482,2.36,0.24210526315789482,0.0,925,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1993-12-09,False,
1456,2009-05-19,1.59,1.59,0.0,2009-05-05,2.24,14.0,-0.2901785714285715,-0.2901785714285715,1.59,-0.2901785714285715,0.0,1030,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1993-12-09,False,
1456,2014-01-13,9.09,9.09,0.0,2013-12-30,3.4,14.0,1.6735294117647057,1.6735294117647057,9.09,1.6735294117647057,0.0,2055,2014-01-13,capital_reduction,TWTAUU,3.4,8.5,2.5,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1993-12-09,False,True
1457,2008-04-25,7.86,7.5,0.0,2008-04-08,5.15,17.0,0.4563106796116503,0.5262135922330096,7.5,0.4563106796116503,0.0,800,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1994-10-20,False,
1462,2005-03-04,0.79,0.79,0.0,2005-02-14,0.42,18.0,0.8809523809523812,0.8809523809523812,0.79,0.8809523809523812,0.0,26,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
